OBJECTID,FOLIO,TRUE_SITE_ADDR,TRUE_SITE_CITY,TRUE_SITE_ZIP_CODE,DOR_CODE_CUR,DOR_DESC,CONDO_FLAG,PARENT_FOLIO,PRIMARY_ZONE,BEDROOM_COUNT,YEAR_BUILT,LOT_SIZE,BUILDING_HEATED_AREA,UNIT_COUNT,ASSESSMENT_YEAR_CUR,zip
198226,2050120060440,6405 SW 120 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1977,39683,2979,1,2026,33156
198227,2050120060441,6425 SW 120 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1978,35152,4749,1,2026,33156
198228,2050120060450,11801 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2007,33541,7033,1,2026,33156
198229,2050120060460,11825 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1997,38332,4841,1,2026,33156
198230,2050120060470,6395 SW 120 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1951,50965,4706,1,2026,33156
198231,2050120060471,6399 SW 120 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1977,27007,4115,1,2026,33156
198232,2050120060480,6446 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1951,34412,4025,1,2026,33156
198233,2050120060490,6436 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1999,39204,4831,1,2026,33156
198234,2050120060500,6420 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,2,1952,39639,2317,1,2026,33156
198235,2050120060510,6380 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1952,33541,3279,1,2026,33156
198236,2050120060520,11820 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1987,40075,4336,1,2026,33156
198237,2050120060530,6401 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2006,34412,5048,1,2026,33156
198238,2050120060540,6425 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1952,34412,2845,1,2026,33156
198239,2050120060550,11821 S MITCHELL MANOR CIR,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,2,1950,40510,1225,1,2026,33156
198240,2050120070010,6190 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2002,46848,6503,1,2026,33156
198241,2050120070020,6160 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,7,2002,47067,7001,1,2026,33156
198242,2050120070030,11501 SW 62 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1998,47044,5171,1,2026,33156
198243,2050120070040,11545 SW 62 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2001,47044,7259,1,2026,33156
198244,2050120070050,6235 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2024,43560,8407,1,2026,33156
198245,2050120070060,6205 SW 116 ST,Pinecrest,33156-0000,0102,RESIDENTIAL - SINGLE FAMILY : ADDITIONAL LIVING QUARTERS,N,,2300,4,1956,33846,4897,2,2026,33156
198246,2050120070070,11500 SW 62 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1995,39770,4511,1,2026,33156
198247,2050120070080,11430 SW 62 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1956,46609,1918,1,2026,33156
198248,2050120070081,6200 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1955,33976,2677,1,2026,33156
198249,2050120070090,6230 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1995,43560,3214,1,2026,33156
198250,2050120080030,10700 SW 57 AVE,Pinecrest,33156-0000,9163,UTILITY : UTILITY,N,,2300,0,1973,246114,504,0,2026,33156
198251,2050120080050,11000 SW 57 AVE,Pinecrest,33156-0000,8950,MUNICIPAL : CULTURAL - LITERARY,N,,8000,0,1954,582833,36703,0,2026,33156
198252,2050120080053,5855 SW 111 ST,Pinecrest,33156-0000,8950,MUNICIPAL : CULTURAL - LITERARY,N,,2600,0,2008,58370.4,38536,0,2026,33156
198253,2050120080055,,Pinecrest,33156-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,2600,0,0,211701.6,0,0,2026,33156
198254,2050120080060,10800 SW 57 AVE,Pinecrest,33156-0000,4937,OPEN STORAGE : WAREHOUSE OR STORAGE,N,,2600,1,1940,43560,7111,1,2026,33156
